epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.398,0.42233,0.9324,0.85846,0.99784,0.99383,0.99466,0.97324,0.23767,0.32557,0.77319,0.0099848,0.00332827,0.0099848,0.00332827,0.0099848,0.00332827,0.0099848,0.00332827
2,271.521,0.42498,0.46264,0.85816,0.99704,0.99426,0.99482,0.96618,0.25926,0.24439,0.78526,0.019787,0.00659565,0.019787,0.00659565,0.019787,0.00659565,0.019787,0.00659565
3,384.121,0.4411,0.39783,0.86989,0.99775,0.99379,0.99487,0.96568,0.26001,0.24867,0.78458,0.0293911,0.00979703,0.0293911,0.00979703,0.0293911,0.00979703,0.0293911,0.00979703
4,494.654,0.41494,0.33928,0.86588,0.99793,0.99449,0.99492,0.97717,0.2386,0.20013,0.77973,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,603.152,0.3759,0.29466,0.85531,0.99852,0.99446,0.99498,0.98128,0.22183,0.19771,0.77954,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,713.16,0.35174,0.27378,0.84835,0.9976,0.99514,0.99496,0.9833,0.21383,0.17713,0.7743,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,821.858,0.33539,0.25603,0.84485,0.99717,0.99587,0.99497,0.98458,0.20726,0.17322,0.77652,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,931.195,0.32406,0.24668,0.84162,0.99829,0.99561,0.99498,0.98619,0.19737,0.16097,0.77426,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1040.08,0.31302,0.23517,0.83882,0.99777,0.99528,0.99496,0.98675,0.1911,0.14927,0.77194,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1149.22,0.30658,0.23101,0.8386,0.99758,0.99568,0.99498,0.98699,0.19682,0.15908,0.77002,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1258.46,0.29893,0.22477,0.83458,0.99736,0.99629,0.99497,0.98821,0.18545,0.14693,0.76972,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1374.06,0.29362,0.22011,0.83348,0.99839,0.99673,0.99498,0.98733,0.18703,0.15024,0.76826,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
